City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
109,Saint Cloud,US,2022-07-29 01:27:24,45.5608,-94.1625,71.24,63,0,13.8
110,Washington,US,2022-07-29 01:27:14,47.5001,-120.5015,106.2,13,0,10.54
111,Castro,BR,2022-07-29 01:27:25,-24.7911,-50.0119,59.76,70,99,5.19
112,Cidreira,BR,2022-07-29 01:27:25,-30.1811,-50.2056,55.18,90,100,19.89
113,Buchanan,LR,2022-07-29 01:27:25,5.8808,-10.0467,73.89,75,52,8.84
114,Tammisaari,FI,2022-07-29 01:27:26,59.9736,23.4339,54.9,92,100,10.2
115,Deniliquin,AU,2022-07-29 01:27:26,-35.5333,144.9667,52.23,53,0,9.55
116,Barrow,US,2022-07-29 01:27:26,71.2906,-156.7887,33.82,100,100,14.97
117,Puerto Escondido,MX,2022-07-29 01:27:26,15.85,-97.0667,83.23,61,100,3.44
118,Yar-Sale,RU,2022-07-29 01:27:27,66.8333,70.8333,64.11,65,100,6.69
119,Barabinsk,RU,2022-07-29 01:27:27,55.3571,78.357,63.37,93,94,10.31
120,Narsaq,GL,2022-07-29 01:27:27,60.9167,-46.05,50.22,73,14,1.48
121,Carsamba,TR,2022-07-29 01:27:28,41.1989,36.7219,68.79,94,20,3.44
122,Maine-Soroa,NE,2022-07-29 01:27:28,13.2114,12.0241,78.84,65,48,8.9
123,Port Hedland,AU,2022-07-29 01:27:28,-20.3167,118.5667,73.45,20,0,14.97
124,Ambilobe,MG,2022-07-29 01:27:29,-13.2,49.05,63.28,87,22,3.0
125,Nabire,ID,2022-07-29 01:27:29,-3.3667,135.4833,80.65,86,93,2.89
126,Lebu,CL,2022-07-29 01:27:29,-37.6167,-73.65,48.22,87,6,16.75
127,Belle Fourche,US,2022-07-29 01:27:30,44.6714,-103.8522,80.33,19,0,9.13
128,Lufilufi,WS,2022-07-29 01:27:30,-13.8745,-171.5986,89.38,79,25,17.49
129,West Wendover,US,2022-07-29 01:27:30,40.7391,-114.0733,92.41,15,0,10.36
130,Grand Gaube,MU,2022-07-29 01:27:31,-20.0064,57.6608,68.4,76,0,3.0
131,Kahului,US,2022-07-29 01:27:31,20.8947,-156.47,87.82,45,40,19.57
132,Gari,RU,2022-07-29 01:27:31,59.4307,62.3497,55.27,77,10,4.32
133,Aitape,PG,2022-07-29 01:27:31,-3.1374,142.3475,82.04,81,93,6.58
134,Provideniya,RU,2022-07-29 01:27:32,64.3833,-173.3,48.36,100,40,11.18
135,Rovnoye,RU,2022-07-29 01:28:32,50.7765,46.0509,69.15,76,0,5.26
136,Lao Cai,VN,2022-07-29 01:28:32,22.4833,103.95,80.01,94,100,1.01
137,Road Town,VG,2022-07-29 01:28:33,18.4167,-64.6167,80.69,78,20,9.22
138,Martapura,ID,2022-07-29 01:28:33,-3.4167,114.85,82.49,78,0,2.3
139,Baykit,RU,2022-07-29 01:28:33,61.67,96.37,68.68,88,99,5.97
140,Vestmanna,FO,2022-07-29 01:28:34,62.1564,-7.1664,50.92,87,40,14.97
141,Zhigansk,RU,2022-07-29 01:28:34,66.7697,123.3711,75.63,53,100,5.59
142,Idenao,CM,2022-07-29 01:28:34,4.2475,9.0047,73.56,95,100,2.1
143,Longyearbyen,SJ,2022-07-29 01:28:35,78.2186,15.6401,42.64,81,75,11.5
144,Bilibino,RU,2022-07-29 01:28:35,68.0546,166.4372,57.81,42,76,11.59
145,Tsumeb,NA,2022-07-29 01:28:35,-19.2333,17.7167,61.14,28,6,5.57
146,Celestun,MX,2022-07-29 01:28:35,20.8667,-90.4,83.07,66,64,18.75
147,Mountain Home,US,2022-07-29 01:28:36,43.133,-115.6912,99.88,14,0,14.97
148,Hamilton,US,2022-07-29 01:26:47,39.1834,-84.5333,81.84,73,40,5.75
149,Khash,IR,2022-07-29 01:28:36,28.2211,61.2158,77.68,58,100,3.83
150,Jefferson City,US,2022-07-29 01:24:37,38.5767,-92.1735,79.9,78,75,3.44
151,Great Bend,US,2022-07-29 01:28:37,38.3645,-98.7648,80.73,70,0,8.05
152,Hilo,US,2022-07-29 01:23:43,19.7297,-155.09,83.28,70,20,8.05
153,Mar Del Plata,AR,2022-07-29 01:27:15,-38.0023,-57.5575,48.22,94,100,13.8
154,Haverhill,US,2022-07-29 01:28:37,42.7762,-71.0773,80.69,82,79,4.0
155,Itarema,BR,2022-07-29 01:28:37,-2.9248,-39.9167,78.73,79,100,12.21
156,Aracuai,BR,2022-07-29 01:28:38,-16.8497,-42.0703,66.51,52,1,2.91
157,Vardo,NO,2022-07-29 01:28:38,70.3705,31.1107,48.18,87,100,9.22
158,Xichang,CN,2022-07-29 01:28:38,27.8964,102.2634,69.62,86,28,1.5
159,Port-Gentil,GA,2022-07-29 01:28:39,-0.7193,8.7815,73.47,79,100,10.98
160,Inhambane,MZ,2022-07-29 01:28:39,-23.865,35.3833,61.09,80,0,5.03
